OTUID	LF-1.fq	LF-6.fq	B80-1.fq	B80-4.fq	LF-2.fq	LF-3.fq	B80-5.fq	B80-6.fq	B80-2.fq	LF-4.fq	LF-5.fq	B80-3.fq
1099445	1	0	0	0	0	0	0	0	0	0	0	0
817230	4	1	2	1	0	5	2	0	1	1	1	3
4304382	4	16	3	8	8	14	13	11	11	17	19	5
345899	1	0	0	0	1	0	0	1	1	0	0	0
2261538	1	0	2	2	2	0	1	2	0	1	3	3
569749	1	2	0	1	0	1	0	0	0	1	2	0
4412015	3	1	1	0	0	2	1	0	1	2	0	2
4308752	1	1	1	1	0	1	0	1	1	1	0	0
1125708	6	13	2	9	5	10	14	7	8	9	8	2
1111294	2	2	1	1	3	0	2	2	1	2	1	0
73954	1	8	1	1	5	3	1	1	2	3	4	1
536150	1	0	2	1	1	3	2	0	0	3	3	1
2602828	2	6	0	0	5	3	2	1	3	3	1	2
1133891	1	1	3	1	2	1	2	0	1	2	1	7
3454149	8	6	2	1	8	2	7	11	3	2	2	3
3019092	3	5	2	5	4	7	4	6	3	5	6	3
213557	1	1	1	0	2	1	1	1	0	2	1	0
4307148	3	3	1	2	2	4	0	2	0	1	2	1
1053775	2	5	4	0	0	2	2	1	1	0	0	0
543934	1	0	0	0	0	0	0	0	0	0	0	0
815996	2	3	1	2	0	0	0	2	0	1	1	2
1105574	7	2	9	12	5	2	2	5	6	0	8	2
2473794	1	1	0	1	0	1	2	1	1	2	0	1
4366870	1	0	0	0	0	0	0	0	0	0	0	0
1110356	6	13	15	17	13	8	7	7	8	13	10	19
577085	5	1	3	6	4	2	1	4	6	6	4	7
3655114	1	0	0	0	1	0	0	0	0	0	0	0
219551	5	4	0	4	2	1	2	0	3	4	3	0
1083460	3	4	1	1	0	6	2	1	1	1	1	1
83514	1	0	0	0	0	0	1	0	0	0	0	0
147541	14	12	18	7	5	6	9	10	10	8	10	3
263122	1	1	0	0	0	1	1	1	0	1	3	0
250989	2	0	0	0	0	0	0	0	0	1	0	0
244889	1	1	0	0	1	1	0	0	0	1	0	0
1042683	2	1	1	4	1	4	3	0	3	3	3	0
4470872	3	1	5	5	1	0	2	3	1	1	3	5
4301046	2	0	0	0	0	1	0	0	0	0	1	0
328828	1	0	0	0	0	0	0	0	0	0	0	0
169793	3	2	1	2	1	3	2	0	0	7	5	1
670037	1	0	0	0	1	0	0	1	0	0	0	1
4357324	4	6	0	0	5	4	1	2	2	5	0	1
876170	3	0	6	1	0	3	0	1	1	0	1	1
211507	2	5	3	4	0	11	3	2	3	3	2	2
388763	3	2	1	8	5	5	1	4	0	8	15	1
83475	2	0	0	0	0	0	0	0	0	0	0	0
12913	1	0	1	0	0	0	0	0	0	0	0	2
217746	2	3	0	3	0	3	0	0	0	1	1	0
335380	14	18	6	11	9	19	6	12	8	17	25	7
1006382	1	5	3	6	10	3	4	13	3	5	7	4
1009419	2	0	4	2	5	1	4	4	0	1	1	2
105662	1	2	0	3	1	2	0	1	1	0	0	0
941487	3	3	3	2	3	8	10	2	8	2	6	3
240331	3	10	4	3	4	13	5	6	3	3	8	2
509980	7	11	3	10	14	13	6	4	9	7	8	5
1124123	1	0	0	0	0	0	0	0	0	0	0	0
1060353	5	1	1	2	2	12	1	2	5	4	3	4
131337	2	0	0	3	0	5	7	3	2	3	2	2
2971192	1	0	0	0	0	1	0	0	0	0	0	0
812958	3	6	3	3	0	4	5	0	3	1	2	1
640874	6	6	2	2	1	2	0	0	1	5	2	2
539774	4	4	8	10	2	14	5	7	13	7	7	5
4443358	3	2	3	0	2	1	2	2	0	0	1	2
544711	7	26	14	18	30	9	20	34	23	22	24	10
144545	1	2	6	2	1	1	0	0	3	3	2	2
1108685	1	1	1	2	1	2	0	1	2	0	1	5
157564	1	0	0	0	0	0	0	0	0	0	0	0
156311	1	4	0	2	0	4	0	1	0	4	2	0
558886	5	8	2	3	1	3	2	2	4	5	1	1
4021888	2	1	1	2	0	5	0	2	1	1	2	3
207999	1	0	0	0	1	0	0	0	0	0	0	0
141042	1	1	4	3	5	1	2	8	3	0	1	2
1109633	2	5	2	4	4	2	4	1	5	7	6	0
825362	3	5	2	2	2	1	1	0	1	0	0	0
248032	2	1	0	1	2	2	1	1	0	0	3	2
783209	1	3	0	0	1	1	0	0	0	1	1	0
146917	4	2	1	4	0	1	0	1	1	0	0	4
584249	13	22	20	10	18	8	9	9	13	5	7	13
159950	2	6	12	2	1	0	3	6	4	1	0	3
338840	1	2	0	6	3	1	2	3	5	1	1	2
2063454	1	0	0	0	0	0	0	0	0	0	0	0
1744843	5	4	1	5	2	5	1	3	3	3	2	2
226906	4	3	1	3	2	0	1	1	0	0	4	2
545577	2	1	1	4	3	4	0	4	3	4	4	3
807217	4	12	0	10	4	8	6	2	5	5	11	4
4420570	4	4	0	2	0	6	0	0	0	9	13	0
171180	7	9	2	7	4	18	5	3	2	9	14	6
1110182	6	9	6	13	4	11	14	9	7	13	3	5
334113	6	0	0	4	0	11	3	1	1	3	3	3
528610	2	0	0	0	0	0	0	0	2	1	0	0
4411804	1	0	2	0	0	1	2	0	1	1	0	0
4371558	1	0	1	0	0	0	0	0	1	1	0	0
4459446	3	2	3	1	0	0	0	0	0	1	0	0
255448	7	1	5	4	31	7	10	9	5	4	5	4
2990433	1	0	0	0	0	0	0	0	0	0	0	0
625825	1	3	0	0	0	3	0	0	1	0	1	1
688760	1	1	3	0	0	1	0	0	1	1	1	0
4416810	1	0	0	0	0	0	0	0	0	0	0	0
502999	3	6	5	5	4	3	2	3	4	3	3	3
49192	1	1	0	0	0	0	0	4	0	0	0	4
790545	3	2	3	5	3	7	24	17	9	2	2	11
279206	3	1	2	0	0	0	2	1	2	3	0	1
49682	1	0	0	0	0	0	0	0	0	0	0	0
247986	1	1	0	0	0	0	0	0	0	0	1	1
3117364	2	0	0	0	0	0	0	0	0	0	0	0
4321043	2	0	2	0	0	1	0	0	3	1	0	0
255838	1	1	0	0	0	1	0	1	2	0	0	2
897411	1	2	2	2	0	1	1	1	1	1	4	2
1124268	1	1	10	1	3	0	3	7	4	1	3	6
810486	1	1	0	0	0	0	0	0	2	1	2	1
325946	1	1	0	2	2	3	0	1	0	0	1	1
1102642	2	30	4	7	4	7	6	6	7	11	8	1
4437581	2	0	2	4	0	1	2	4	2	7	2	0
543826	1	1	0	0	0	0	0	1	0	2	0	0
875704	4	10	0	6	9	18	5	11	5	20	10	7
4334137	1	0	0	1	1	1	3	0	3	1	1	0
96459	1	0	0	1	0	0	1	0	1	0	0	0
177051	3	1	5	0	1	6	1	1	1	5	2	1
185701	2	7	1	6	6	7	6	5	3	12	8	3
584276	1	4	1	2	1	4	5	2	4	6	4	0
565900	4	7	1	5	2	6	5	1	3	4	7	2
4388918	3	11	0	3	1	3	3	6	4	7	4	0
255206	1	2	1	1	0	3	0	1	2	0	0	1
801258	1	0	0	0	0	0	0	0	0	0	0	0
569939	1	0	0	0	0	0	0	0	0	1	0	1
1639771	9	3	1	2	3	6	0	3	1	1	7	2
657792	3	2	2	1	2	2	2	1	5	1	1	1
576755	5	9	6	11	7	13	11	10	5	3	3	8
811434	7	6	5	6	6	6	9	7	9	7	0	3
143802	2	3	2	14	2	0	5	6	0	1	0	4
990405	2	5	4	5	2	7	4	3	3	7	4	2
2558664	1	0	0	0	0	1	0	0	0	1	0	0
813217	1	3	1	0	4	0	10	5	11	0	0	1
1125638	1	0	1	1	1	2	0	1	1	1	2	1
585221	4	0	5	3	2	0	0	0	1	1	1	1
276959	1	0	0	0	1	0	0	0	0	0	1	0
219330	1	1	0	0	0	1	0	0	0	0	0	0
324244	2	0	0	0	0	0	0	0	0	0	0	0
850808	3	2	0	0	0	4	1	0	0	1	1	2
620224	1	5	5	4	5	12	5	5	10	7	12	2
113210	7	16	15	19	13	10	22	18	22	16	10	20
138184	2	3	1	2	3	5	1	0	2	2	4	3
252702	3	2	1	1	0	3	2	3	0	4	2	2
850971	1	0	0	0	0	0	0	0	0	0	0	0
819557	1	0	1	1	1	0	1	0	0	1	0	1
1146228	3	0	1	6	4	1	2	2	4	0	2	2
530377	6	8	8	8	7	2	11	12	7	7	6	12
763169	2	1	1	0	0	0	0	0	0	1	0	0
1138574	1	0	0	0	0	0	0	0	0	0	1	0
4459356	3	3	0	7	0	3	4	0	0	3	3	0
885968	1	0	0	0	0	3	1	0	0	2	1	0
2761428	1	0	0	0	1	0	0	0	0	0	0	0
559664	1	0	0	0	0	0	0	0	0	0	0	0
3047667	2	2	1	0	1	3	0	1	0	3	4	1
136351	1	0	0	0	0	0	0	0	0	0	0	0
2621645	1	7	0	0	1	2	1	1	1	0	2	0
585989	1	0	0	0	0	0	0	0	0	0	0	0
543739	3	1	0	0	0	3	0	6	3	2	1	0
222071	1	0	0	0	0	0	0	0	1	0	0	0
27227	1	0	2	0	0	1	1	0	0	0	1	1
560750	3	1	1	0	0	5	3	3	1	3	1	2
349024	5	0	0	0	0	0	0	0	0	0	0	0
587824	1	0	0	0	0	0	0	0	0	0	0	0
4372979	2	1	0	0	1	6	1	1	0	0	2	1
284171	1	1	0	0	0	1	0	1	1	1	0	1
207973	2	1	0	1	0	0	0	0	0	0	0	0
170623	3	2	1	1	1	8	1	2	6	5	7	2
136297	1	1	1	2	0	2	1	0	2	2	0	2
250348	10	4	3	1	1	2	6	6	0	3	3	4
4348101	2	0	0	0	1	3	3	0	2	1	0	1
4327556	1	1	0	0	0	3	0	0	0	0	0	0
781550	3	2	1	0	1	0	2	4	2	0	4	3
853854	3	3	0	4	2	0	0	4	0	2	4	2
275115	2	1	1	0	0	0	1	2	0	0	0	0
220524	10	11	2	4	3	14	3	3	9	4	5	4
562900	2	6	1	6	3	10	8	2	2	3	1	4
142320	3	6	6	5	4	6	5	9	14	7	4	4
511344	1	0	1	0	0	0	1	0	0	0	0	0
4389969	6	4	1	2	1	11	0	2	0	7	2	1
1110139	3	1	0	1	3	2	0	2	1	1	2	0
1040172	1	0	0	1	0	0	2	0	1	1	2	1
884238	6	0	0	2	1	3	2	3	1	1	2	1
807693	3	8	0	6	3	4	3	4	1	4	1	3
571642	1	0	0	0	0	0	0	0	0	0	0	0
581403	5	10	8	1	5	8	12	3	7	5	3	4
136683	2	3	1	2	1	5	0	1	1	6	2	1
769643	4	12	17	9	9	5	29	46	12	6	14	6
133328	1	0	0	0	0	0	0	0	1	0	0	0
1128234	1	0	0	1	0	0	0	0	0	1	0	0
513370	1	4	0	1	2	3	1	3	5	4	3	1
262377	2	3	1	3	0	4	3	0	2	3	2	1
161167	1	1	1	2	0	2	1	0	0	0	1	1
658536	3	3	5	4	0	14	2	1	1	3	6	2
591519	1	0	1	0	0	1	0	1	0	0	1	0
946052	2	1	0	1	0	2	3	0	3	0	0	0
513425	1	0	0	0	0	0	0	0	0	0	1	0
342450	5	0	23	17	0	6	40	20	21	0	1	29
243943	3	7	28	3	1	4	9	3	6	5	1	12
1669160	1	0	0	0	0	0	0	0	0	0	0	0
912714	6	6	11	12	5	15	14	9	9	14	10	5
816631	7	5	4	5	4	5	5	3	3	10	2	3
243349	2	0	4	4	5	0	3	6	1	0	0	3
222768	2	0	0	2	2	1	0	0	0	1	0	1
745482	1	6	4	6	3	10	5	2	1	2	6	2
1111136	2	7	1	6	4	1	2	7	1	4	10	5
246449	1	0	0	0	1	0	0	0	0	0	0	0
210865	4	2	0	3	1	5	5	0	2	1	2	3
240630	2	1	0	6	1	2	2	1	3	4	1	1
1127173	8	13	1	4	1	7	5	5	6	19	14	7
103410	1	4	3	2	4	2	4	1	1	0	3	2
218719	2	1	0	0	0	0	1	0	2	2	0	0
3533726	3	3	0	2	2	6	3	3	3	4	8	5
817942	2	5	0	1	1	2	2	1	2	4	2	0
4297673	7	4	6	8	8	11	37	9	27	3	9	6
4416963	1	1	0	0	0	1	0	0	0	1	0	0
121575	1	4	1	4	1	3	5	6	0	7	3	1
268764	3	0	0	0	0	0	1	1	1	2	1	3
4371273	3	10	12	7	12	41	15	10	10	10	10	3
303607	1	3	2	1	1	0	0	1	1	1	1	2
4433998	1	0	1	0	0	0	0	1	0	1	1	0
4346961	1	0	0	0	0	0	0	0	0	1	0	0
229434	5	8	13	1	17	19	9	4	9	10	8	85
91285	2	1	3	6	6	5	4	8	3	4	4	3
4410196	1	0	0	0	0	0	1	3	2	0	0	1
886778	1	0	1	1	2	0	1	1	1	0	1	2
689950	3	1	2	2	1	5	1	0	6	4	1	7
1106595	2	7	8	9	3	5	1	6	5	3	5	7
4338800	1	0	1	1	0	0	0	0	0	0	0	0
51116	1	0	3	0	0	7	0	1	0	0	0	0
129752	5	9	1	5	5	23	5	4	5	15	21	7
1127882	3	3	11	5	4	1	8	9	3	6	0	19
1089939	5	5	1	6	5	7	2	3	4	7	6	5
1106498	2	3	0	3	3	3	0	1	1	5	3	1
153548	1	1	0	0	0	0	0	0	1	0	0	0
4470317	4	2	5	1	1	7	2	1	0	0	2	0
587696	1	0	3	4	2	10	2	2	5	2	1	5
591642	2	3	3	1	2	6	3	3	0	4	1	8
893232	3	12	8	3	2	9	3	2	7	8	5	7
1135012	1	1	1	1	2	2	1	1	1	1	2	0
245194	3	5	13	13	18	0	16	12	12	4	11	4
7214	2	0	0	1	0	1	1	1	0	0	0	1
686282	2	3	2	1	0	0	9	12	3	0	0	0
821656	2	0	0	1	0	0	0	0	0	0	0	0
975124	1	2	0	1	1	1	2	0	1	3	3	1
277521	7	6	52	13	6	5	17	35	13	15	4	22
736737	1	0	0	0	0	2	0	0	0	0	2	0
823024	2	5	3	0	1	16	2	3	3	7	4	2
1143359	3	8	4	0	2	7	1	3	2	7	7	3
554002	5	2	1	0	5	4	3	0	2	4	2	2
651779	4	4	4	2	7	8	1	0	1	10	3	1
705326	1	0	0	0	0	2	0	0	0	0	0	0
1104454	1	0	2	0	0	1	1	1	1	0	0	0
268751	3	1	1	3	0	5	0	0	4	2	2	1
569938	1	0	0	1	0	0	0	1	0	0	0	1
558364	6	6	1	5	4	5	4	1	4	5	11	3
368027	1	0	1	0	0	0	0	0	0	0	0	0
2880684	4	4	3	2	0	12	5	5	5	9	1	0
65683	5	6	7	7	4	8	12	14	3	4	3	1
4316858	6	1	3	3	0	3	1	5	0	0	1	4
736985	1	0	0	0	0	0	0	0	0	0	0	1
237658	2	5	0	5	1	1	1	1	1	4	1	2
294946	1	0	0	0	1	0	2	0	2	0	0	0
170244	7	4	1	5	3	1	1	7	2	4	3	5
1114845	1	0	0	1	0	0	0	0	0	0	0	0
434250	1	0	0	0	0	0	0	0	0	0	0	1
818174	4	9	0	2	0	10	2	3	3	5	7	4
968085	1	0	1	0	0	3	0	0	0	0	0	0
843254	3	1	12	3	4	6	11	2	3	4	4	5
540672	2	0	1	1	2	0	2	1	2	0	0	0
3471582	4	3	11	4	8	4	43	35	28	0	3	13
852205	2	3	0	2	1	3	2	0	2	4	1	2
206948	2	1	4	1	1	3	1	0	4	2	0	7
285497	3	0	1	1	1	1	0	1	4	0	0	1
545548	1	2	18	14	3	15	3	1	3	2	4	8
1117675	2	0	0	0	0	1	0	0	0	0	0	0
790190	2	5	2	13	4	2	6	7	5	6	4	6
208118	4	1	7	2	4	6	0	2	3	3	5	1
1140817	1	0	0	0	0	0	0	0	0	0	0	0
155917	5	3	4	4	3	9	3	3	5	7	4	1
1824908	5	3	1	0	2	1	0	0	1	1	4	0
4348821	1	5	6	1	1	0	4	0	6	1	0	1
2551965	1	4	1	3	1	5	2	3	2	2	0	0
237185	2	1	2	2	2	2	3	0	0	9	1	4
3498923	1	2	1	0	0	0	0	0	0	0	0	0
243964	1	2	1	0	0	5	0	0	1	1	0	0
3667535	7	7	1	3	4	2	3	2	3	5	5	2
820713	1	1	0	1	0	1	0	0	0	0	0	0
536090	4	3	3	2	8	8	3	1	7	9	4	1
4308655	3	2	4	3	1	4	2	0	4	3	0	2
4318356	2	2	11	6	6	16	5	6	5	9	3	3
4299829	2	1	0	4	1	2	0	1	1	0	1	0
576231	1	0	1	0	0	0	0	1	0	0	0	0
4384755	3	3	1	3	2	1	4	5	2	5	1	4
815859	2	0	2	1	3	2	1	0	0	4	2	0
4456710	4	1	2	2	5	3	0	1	0	2	1	2
813553	1	0	0	0	0	0	0	0	0	0	0	0
259881	2	5	4	1	4	0	2	3	2	0	0	1
1108924	1	2	0	0	3	0	0	0	1	1	1	0
4316443	1	0	0	0	0	0	0	0	0	0	1	0
567883	4	4	3	1	0	2	2	2	2	6	3	4
99510	1	3	5	2	0	1	9	0	2	0	0	9
1106318	6	15	19	11	21	10	32	38	31	7	11	29
4339236	2	2	2	7	2	6	1	4	7	6	4	1
242534	1	2	0	0	0	0	4	2	0	0	1	1
255281	1	3	0	0	1	2	3	1	0	4	2	2
205577	1	3	0	0	0	2	0	0	0	2	0	1
1818	1	0	0	1	1	0	0	1	0	2	0	0
851049	2	0	0	0	0	0	2	1	0	0	0	0
2796295	1	0	1	0	2	0	0	1	0	1	1	0
46444	2	3	3	0	0	3	2	2	1	2	1	3
4326567	3	2	2	2	2	2	1	3	0	1	0	2
984175	8	1	0	2	1	9	4	2	0	0	2	4
575785	1	1	1	0	0	0	0	0	1	2	2	0
4004674	1	0	0	0	0	1	0	0	0	0	1	0
716354	4	8	3	1	6	7	2	5	2	7	3	4
205434	1	0	0	1	0	0	1	2	0	0	1	0
155936	1	1	1	0	0	0	1	1	1	0	0	0
1009440	4	2	6	1	0	7	3	6	5	2	1	5
238951	3	0	0	1	0	0	1	1	1	0	1	0
4373700	3	1	2	0	1	0	1	0	0	1	1	1
371783	2	0	1	0	2	2	0	1	1	0	1	3
731070	4	5	3	6	3	12	4	4	4	6	4	5
210914	3	1	0	1	1	1	0	2	1	0	0	0
544092	1	2	0	1	1	0	0	0	0	0	0	0
240032	2	0	0	0	0	0	1	1	0	0	0	0
574158	3	0	2	0	2	1	4	2	0	4	2	1
3798902	9	5	2	6	3	5	6	6	2	2	7	1
771767	1	1	0	0	2	0	1	0	0	1	3	0
636026	1	0	0	0	0	0	1	1	0	1	1	0
523224	1	0	3	1	2	3	0	1	3	4	3	2
1013234	2	1	0	1	0	0	0	0	0	0	0	0
207133	1	0	0	0	0	0	0	0	1	0	1	0
3116297	2	4	4	5	0	7	3	2	7	5	1	5
812500	1	2	0	0	1	4	0	0	0	1	0	2
2918028	1	0	1	0	0	2	0	0	0	2	0	0
1107335	1	2	0	1	0	7	2	2	0	9	6	0
531901	2	2	3	3	2	3	2	1	2	1	5	6
217700	13	48	39	38	53	42	130	79	76	35	48	62
730154	1	5	3	5	4	1	2	3	1	2	0	5
4454276	4	5	4	1	4	2	7	5	3	7	4	7
760884	3	5	1	2	2	3	1	0	2	3	5	2
571484	6	14	4	16	3	12	14	13	12	12	15	6
4311393	2	5	6	4	3	5	4	10	4	10	0	2
750868	1	0	0	1	0	1	0	0	0	1	0	0
731014	4	15	4	2	2	4	0	0	3	5	5	7
591475	1	1	2	1	1	2	0	0	0	2	5	2
558264	1	23	16	16	4	0	13	2	9	2	0	12
1128703	3	8	1	0	1	4	1	3	1	7	5	0
4458460	1	0	1	3	0	0	0	0	0	0	1	1
569244	1	0	0	0	0	0	0	0	0	0	0	0
4043609	1	0	2	0	2	1	2	2	3	0	0	5
4117623	1	0	0	0	0	0	0	0	0	0	0	0
4461509	1	4	3	7	5	4	3	10	4	8	0	3
1042351	6	14	2	6	4	4	6	1	2	7	7	2
1129363	3	4	0	3	5	10	11	9	6	8	2	4
314513	1	1	0	2	2	1	2	0	1	1	1	0
826270	1	0	0	0	0	1	0	0	2	0	0	0
181641	2	0	5	0	1	2	1	5	1	0	0	5
179393	1	3	0	0	0	1	0	0	1	0	0	0
2011775	7	6	8	3	1	12	8	2	6	2	2	5
113377	3	3	0	1	4	3	0	3	0	8	4	1
99057	1	1	0	0	0	0	0	1	0	0	0	0
167761	1	0	0	0	0	0	0	0	0	0	0	2
328307	3	3	1	1	1	2	2	1	0	0	1	0
541749	3	1	0	2	0	3	0	2	0	1	0	0
4361435	2	2	1	1	3	0	1	3	1	0	0	0
4399291	1	0	0	0	1	0	0	0	0	0	0	0
1084045	3	6	2	1	0	8	4	2	6	3	1	2
573976	1	0	0	0	0	0	0	0	0	0	0	0
4308369	1	0	0	0	0	0	0	0	0	0	0	0
674370	6	5	5	4	3	10	7	6	10	4	2	5
4477127	8	12	7	9	6	14	8	0	13	8	10	5
309713	1	1	2	0	0	1	0	0	1	0	0	0
4424409	3	2	1	2	0	6	7	1	3	7	6	5
318628	1	0	0	0	0	0	0	0	0	0	0	0
1133558	2	0	0	0	0	2	0	0	0	0	0	0
1118149	1	0	0	0	0	0	0	0	0	0	0	0
297065	1	0	0	0	0	0	0	0	0	0	0	0
167531	8	7	2	2	0	8	1	3	3	8	7	4
342723	2	7	5	1	2	6	1	4	1	4	5	4
236583	2	3	2	4	0	4	1	1	0	4	3	1
514449	5	6	0	1	7	9	0	2	2	5	6	0
996923	13	10	22	12	6	25	6	1	18	18	15	14
610383	1	3	2	3	0	3	6	4	0	9	1	2
4369968	3	5	2	4	1	6	8	3	2	5	1	3
692510	2	6	0	1	1	3	6	4	4	1	0	1
169112	2	1	0	0	0	4	1	0	2	4	3	0
218401	1	0	1	0	0	0	0	0	0	0	0	0
167017	1	0	0	0	0	0	0	0	0	0	0	0
916311	3	3	1	1	1	2	1	2	2	0	1	0
1833672	3	1	0	0	0	1	1	1	3	2	0	2
1135388	2	3	0	1	0	2	0	1	1	0	0	0
1129962	3	1	0	2	0	1	0	0	3	2	2	0
539878	1	0	0	0	0	0	1	0	1	0	1	1
919487	5	6	4	2	3	3	3	2	4	1	1	4
570552	4	4	5	6	1	9	5	9	4	2	3	5
324357	5	10	4	14	6	11	4	1	12	15	11	8
810483	1	0	0	1	0	1	1	0	0	0	2	0
1491	3	4	0	4	1	3	2	2	1	0	5	0
7128	6	5	17	14	11	7	17	16	17	7	8	39
810126	2	0	0	0	0	0	1	0	2	0	0	0
4305907	2	0	0	0	0	2	2	0	1	5	4	0
409932	2	2	1	1	3	5	1	0	3	2	2	3
332569	2	1	5	9	1	1	3	3	2	2	3	6
1022879	1	0	0	0	0	0	0	0	0	1	2	0
1135504	1	5	7	6	3	5	10	11	2	2	3	7
788086	1	0	0	0	0	0	0	0	0	0	0	0
706141	1	0	0	0	0	0	0	0	1	0	0	0
102220	2	6	2	7	5	3	0	3	3	1	1	7
33825	1	0	1	1	1	1	0	1	0	2	4	1
3078693	6	9	1	6	3	7	5	7	2	8	3	1
3160513	1	1	0	0	0	0	0	0	0	0	0	0
589605	3	1	1	1	0	4	0	0	4	1	3	0
703846	1	0	0	1	0	2	0	0	0	0	0	0
4412910	12	5	1	4	9	3	6	4	4	5	8	8
4278428	8	6	3	3	1	2	1	2	5	5	6	3
4295156	1	0	1	0	0	1	1	1	2	0	0	3
1951898	1	1	2	3	3	2	3	3	0	4	0	1
33974	1	0	0	1	0	0	1	1	0	0	0	0
1147754	3	5	2	3	12	1	4	11	4	4	2	3
143935	1	1	4	0	2	2	1	1	1	9	1	0
568325	1	0	0	0	0	0	0	1	0	0	0	0
202619	2	2	2	0	3	6	0	0	1	4	0	0
1431	2	1	2	4	1	3	1	0	1	2	0	1
4312143	1	0	2	0	0	0	0	0	0	0	0	0
314857	2	1	0	1	0	6	2	3	1	3	3	0
557787	4	4	1	5	2	5	5	4	1	3	5	3
1110227	5	1	1	1	0	2	0	1	1	1	1	3
376348	2	0	38	16	7	1	12	21	13	2	0	15
152567	1	0	0	0	0	0	0	0	0	0	0	0
4395848	1	0	0	0	0	0	0	0	0	0	0	0
545782	6	11	16	6	9	10	12	11	10	11	5	6
619848	2	3	4	7	2	3	3	2	3	1	3	1
4387263	1	1	1	0	0	1	0	0	1	0	0	1
325711	1	1	1	0	1	2	2	3	1	2	1	0
154268	1	0	0	0	0	0	0	0	0	0	0	0
12794	2	1	10	3	1	0	1	0	6	4	0	0
123738	2	6	2	1	1	3	5	5	4	3	8	2
585949	5	9	5	5	9	7	7	1	7	7	6	4
4388411	1	5	0	0	0	3	0	1	0	0	0	0
17679	12	14	19	11	9	4	10	12	15	10	14	16
242612	6	5	0	5	3	4	4	5	4	12	5	2
361764	5	7	5	10	3	7	6	7	2	8	7	5
818803	1	3	1	4	0	6	3	0	3	2	4	0
4442955	3	9	5	9	7	19	17	3	7	6	13	4
113021	1	1	1	0	1	0	0	0	1	1	1	0
974796	4	0	0	5	0	1	4	1	0	2	1	0
4468329	3	1	0	2	1	2	0	0	0	2	5	2
558911	3	2	11	3	0	3	9	3	4	6	6	6
4331215	1	3	0	2	2	6	3	0	3	8	1	1
4390608	2	1	0	0	0	0	0	1	3	2	0	0
243780	1	0	1	0	0	0	0	1	0	0	0	0
2410340	1	1	2	1	2	0	0	0	0	0	0	4
806650	2	0	0	2	0	0	2	1	0	0	0	0
809886	1	2	0	0	0	1	0	0	0	1	0	0
891031	3	1	4	3	0	1	3	2	3	1	5	0
279266	8	6	5	7	6	7	4	12	5	3	7	8
588097	1	0	1	0	0	0	1	0	0	0	0	0
251499	7	14	4	10	11	20	15	8	10	13	8	0
4364838	2	1	4	2	1	4	7	6	3	1	0	5
226313	1	5	1	4	3	2	1	0	2	0	0	1
588567	2	2	1	2	0	2	1	1	0	1	1	0
592891	3	9	6	8	4	14	6	9	4	9	2	4
1069076	12	16	8	16	12	13	6	11	4	25	13	14
360823	3	3	3	2	2	7	4	2	7	4	2	2
3612346	1	0	0	1	0	1	0	1	0	0	1	1
2132323	1	2	1	0	0	2	0	0	0	1	2	0
1131545	1	0	0	1	0	2	0	1	1	1	2	2
244639	4	4	17	6	15	2	14	10	17	7	5	11
1069478	1	1	0	0	1	0	1	0	0	2	1	0
87167	1	0	1	0	0	1	1	0	1	1	0	0
4377284	2	2	2	1	1	0	0	2	1	0	2	0
560457	9	22	11	23	23	15	14	16	27	23	27	10
538428	1	2	0	0	0	1	1	0	1	2	0	1
715527	1	3	3	3	0	0	3	3	3	3	1	3
132068	1	0	0	0	0	0	0	0	0	0	0	0
105215	3	0	3	2	0	2	5	1	3	1	1	1
815293	1	0	0	0	0	0	0	0	1	0	0	0
4314412	1	0	0	0	0	0	0	0	0	0	0	0
879040	4	5	1	0	4	5	3	6	2	6	4	0
543813	4	0	1	0	0	1	0	0	0	0	8	0
653394	1	0	0	0	0	0	1	0	0	1	0	0
237887	1	3	0	2	1	2	2	0	1	2	2	2
557209	4	7	3	4	0	3	2	8	1	5	2	2
560770	1	0	0	0	0	0	0	2	0	1	0	0
144821	1	0	0	0	0	0	1	0	0	0	0	0
2850546	8	10	4	4	7	7	15	3	10	2	4	5
571592	1	0	0	0	0	1	1	0	0	0	0	0
168390	2	0	0	0	0	2	0	0	1	0	0	0
3430522	1	1	2	0	0	2	1	0	1	5	1	1
102911	2	3	0	0	0	3	0	2	1	1	4	0
880673	2	2	0	2	0	1	0	2	0	2	1	1
647437	5	3	2	1	1	2	5	3	0	6	3	1
561061	2	1	0	0	2	3	2	0	2	0	0	0
534321	1	5	0	4	1	3	2	2	0	1	3	1
699760	2	5	2	5	2	4	0	1	1	2	5	1
2228264	1	1	1	0	0	0	0	1	0	0	0	0
4479752	1	0	0	0	0	2	0	0	0	0	0	0
611360	1	1	3	3	0	1	0	6	1	0	0	2
4351033	2	1	0	1	1	3	0	1	1	4	1	0
114341	1	3	6	2	1	3	8	1	6	2	3	4
1110993	3	0	0	0	1	1	0	1	0	3	0	0
134209	1	1	2	0	0	1	0	3	2	2	0	1
2458157	1	4	2	1	3	8	2	2	1	2	6	3
936752	1	1	0	0	1	1	0	1	1	1	0	0
237794	1	1	0	0	0	1	1	0	0	0	2	1
247758	4	6	14	0	4	9	8	6	10	2	3	10
167253	2	0	0	0	1	1	2	0	1	2	1	0
327895	2	6	1	3	1	11	1	2	4	5	0	0
